genre,category,title,year,distribution,description,url,cover_photo
Action,Hollywood,Avengers - Endgame,2019,BluRay,"The grave course of events set in motion by Thanos that wiped out half the universe and fractured the Avengers ranks compels the remaining Avengers to take one final stand in Marvel Studios' grand conclusion to twenty-two films, Avengers: Endgame....<more>",https://fzmovies.net/movie-Avengers%20-%20Endgame--hmp4.htm,https://fzmovies.net/imdb_images/Avengers.Endgame.2019.jpg
Action,Hollywood,Avengers Infinity War,2018,BluRay,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe. ...<more>,https://fzmovies.net/movie-Avengers%20Infinity%20War--hmp4.htm,https://fzmovies.net/imdb_images/Avengers.Infinity.War.2018.jpg
Action,Hollywood,Spider Man Far from Home,2019,BluRay,"Following the events of Avengers: Endgame, SUPERHERO Spider-Man must step up to take on new threats in a world that has changed forever. Tags : vacation...<more>",https://fzmovies.net/movie-Spider%20Man%20Far%20from%20Home--hmp4.htm,https://fzmovies.net/imdb_images/Spider.Man.Far.From.Home.2019.jpg
Action,Hollywood,John Wick Chapter 3 Parabellum,2019,BluRay,"In this third installment of the adrenaline-fueled action franchise, skilled assassin John Wick (Keanu Reeves) returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin's guild, the High Table,…Tags : sequel | chase | dog...<more>",https://fzmovies.net/movie-John%20Wick%20Chapter%203%20Parabellum--hmp4.htm,https://fzmovies.net/imdb_images/John.Wick.3.2019.jpg
Action,Hollywood,Spider Man No Way Home,2021,BluRay,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.Tags : superhero | based on comic | marvel comics...<more>",https://fzmovies.net/movie-Spider%20Man%20No%20Way%20Home--hmp4.htm,https://fzmovies.net/imdb_images/Spider.Man.No.Way.Home.2021.jpg
Action,Hollywood,Fast and Furious Presents - Hobbs and Shaw,2019,BluRay,Lawman Luke Hobbs and outcast Deckard Shaw form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.,https://fzmovies.net/movie-Fast%20and%20Furious%20Presents%20-%20Hobbs%20and%20Shaw--hmp4.htm,https://fzmovies.net/imdb_images/Hobbs.and.Shaw.2019.jpg
Action,Hollywood,Black Panther,2018,BluRay,"T'Challa, after the death of his father, the King of Wakanda, returns home to the isolated, technologically advanced African nation to succeed to the throne and take his rightful place as king.
Action,Hollywood,Black Panther Wakanda Forever,2022,BluRay,The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.Tags : sequel | second part | superhero | marvel comics...<more>,https://fzmovies.net/movie-Black%20Panther%20Wakanda%20Forever--hmp4.htm,https://fzmovies.net/imdb_images/Black.Panther.Wakanda.Forever.2022.jpg
Action,Hollywood,Aquaman,2018,BluRay,"Arthur Curry learns that he is the heir to the underwater kingdom of Atlantis, and must step forward to lead his people and be a hero to the world.Tags : ocean...<more>",https://fzmovies.net/movie-Aquaman--hmp4.htm,https://fzmovies.net/imdb_images/Aquaman.2018.jpg
Action,Hollywood,Bad Boys for Life,2020,BluRay,"Marcus and Mike have to confront new issues (career changes and midlife crises), as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.Tags : detective...<more>",https://fzmovies.net/movie-Bad%20Boys%20for%20Life--hmp4.htm,https://fzmovies.net/imdb_images/Bad.Boys.for.Life.2020.jpg
Action,Hollywood,Fast and Furious 9,2021,BluRay,"Cypher enlists the help of Jakob, Dom's younger brother to take revenge on Dom and his team.",https://fzmovies.net/movie-Fast%20and%20Furious%209--hmp4.htm,https://fzmovies.net/imdb_images/Fast.And.Furious.9.2021.jpg
Action,Hollywood,Jumanji The Next Level,2019,BluRay,"The gang is back but the game has changed. As they return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored, from the arid deserts to the snowy mountains, in order to escape the world's most dangerous…Tags : sequel | christmas...<more>",https://fzmovies.net/movie-Jumanji%20The%20Next%20Level--hmp4.htm,https://fzmovies.net/imdb_images/Jumanji.The.Next.Level.2019.jpg
Action,Hollywood,John Wick Chapter 4,2023,BluRay,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.Tags : fourth part | assassin | sequel...<more>",https://fzmovies.net/movie-John%20Wick%20Chapter%204--hmp4.htm,https://fzmovies.net/imdb_images/John.Wick.Chapter.4.2023.jpg
Action,Hollywood,Captain Marvel,2019,BluRay,Carol Danvers becomes one of the universe's most powerful superheroes when Earth is caught in the middle of a galactic war between two alien races.,https://fzmovies.net/movie-Captain%20Marvel--hmp4.htm,https://fzmovies.net/imdb_images/Captain.Marvel.2019.jpg
Action,Hollywood,Deadpool 2,2018,BluRay,"After surviving a near fatal bovine attack, a disfigured cafeteria chef (Wade Wilson) struggles to fulfill his dream of becoming Mayberry's hottest bartender while also learning to cope with his lost sense of taste. Searching to regain his spice for life, as well as a flux capacitor, Wade must…Tags : mutant...<more>",https://fzmovies.net/movie-Deadpool%202--hmp4.htm,https://fzmovies.net/imdb_images/Deadpool.2.2018.jpg
Action,Hollywood,Dark Phoenix,2019,BluRay,Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix. Now the X-Men will have to decide if the life of a team member is worth more than all the people living in the world. ...<more>,https://fzmovies.net/movie-Dark%20Phoenix--hmp4.htm,https://fzmovies.net/imdb_images/Dark.Phoenix.2019.jpg
Action,Hollywood,Extraction 2020,2020,WEB-DL,"In an underworld of weapons dealers and traffickers, a young boy becomes the pawn in a war between notorious drug lords. Trapped by kidnappers inside one of the world's most impenetrable cities, his rescue beckons the unparalleled skill of a mercenary named Tyler Rake, but Rake is a broken man with…...<more>",https://fzmovies.net/movie-Extraction%202020--hmp4.htm,https://fzmovies.net/imdb_images/Extraction.2020.jpg
Action,Hollywood,Black Adam,2022,BluRay,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods-and imprisoned just as quickly-Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.Tags : based on comic | based on comic book | dc comics...<more>",https://fzmovies.net/movie-Black%20Adam--hmp4.htm,https://fzmovies.net/imdb_images/Black.Adam.2022.jpg
Action,Hollywood,Bloodshot 2020,2020,BluRay,"Ray Garrison, an elite soldier who was killed in battle, is brought back to life by an advanced technology that gives him the ability of super human strength and fast healing. With his new abilities, he goes after the man who killed his wife, or at least, who he believes killed his wife. He soon…Tags : superhero...<more>",https://fzmovies.net/movie-Bloodshot%202020--hmp4.htm,https://fzmovies.net/imdb_images/Bloodshot.2020.jpg
Action,Hollywood,Iron Man 3,2013,BluRay,"Marvel's ""Iron Man 3"" pits brash-but-brilliant industrialist superhero Tony Stark/Iron Man against an enemy whose reach knows no bounds. When Stark finds his personal world destroyed at his enemy's hands, he embarks on a harrowing quest to find those responsible. This journey, at every turn, will test his mettle. With his back against the wall, Stark is left to survive by his own devices, relying on his ingenuity and instincts to protect those closest to him. As he fights his way back, Stark discovers the answer to the question that has secretly haunted him: does the man make the suit or does the suit make the man? ...<more>",https://fzmovies.net/movie-Iron%20Man%203--hmp4.htm,https://fzmovies.net/imdb_images/Iron.Man.3.jpg
Action,Hollywood,Avatar The Way of Water,2022,BluRay,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.Tags : sequel | second part | jungle | ocean...<more>",https://fzmovies.net/movie-Avatar%20The%20Way%20of%20Water--hmp4.htm,https://fzmovies.net/imdb_images/Avatar.The.Way.of.Water.2022.jpg
Action,Hollywood,Men in Black International,2019,BluRay,"The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest threat to date: a mole in the Men in Black organization. Tags : sequel...<more>",https://fzmovies.net/movie-Men%20in%20Black%20International--hmp4.htm,https://fzmovies.net/imdb_images/Men.in.Black.International.2019.jpg
Action,Hollywood,Avengers - Age of Ultron,2015,BluRay,"When superhero Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and it is up to the Avengers to stop the villainous Ultron from enacting his terrible plans....<more>",https://fzmovies.net/movie-Avengers%20-%20Age%20of%20Ultron--hmp4.htm,https://fzmovies.net/imdb_images/Avenger.Age.of.Ultron.2015.jpg
Action,Hollywood,Shang Chi and the Legend of the Ten Rings,2021,BluRay,"Shang-Chi, the master of unarmed weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.Tags : superhero | marvel comics | based on comic | martial arts | dragon...<more>",https://fzmovies.net/movie-Shang%20Chi%20and%20the%20Legend%20of%20the%20Ten%20Rings--hmp4.htm,https://fzmovies.net/imdb_images/Shang.Chi.and.the.Legend.of.the.Ten.Rings.2021.jpg
Action,Hollywood,Alita Battle Angel,2019,BluRay,"Alita is a creation from an age of despair. Found by the mysterious Dr. Ido while trolling for cyborg parts, Alita becomes a lethal, dangerous being. She cannot remember who she is, or where she came from. But to Dr. Ido, the truth is all too clear. She is the one being who can break the cycle of…Tags : cyberpunk | dystopia | cyborg...<more>",https://fzmovies.net/movie-Alita%20Battle%20Angel--hmp4.htm,https://fzmovies.net/imdb_images/Alita.Battle.Angel.2019.jpg
Action,Hollywood,Shazam,2019,BluRay,"We all have a superhero inside us, it just takes a bit of magic to bring it out. In Billy Batson's case, by shouting out one word - SHAZAM! - this streetwise fourteen-year-old foster kid can turn into the adult superhero Shazam. ...<more>",https://fzmovies.net/movie-Shazam--hmp4.htm,https://fzmovies.net/imdb_images/Shazam.2019.jpg
Action,Hollywood,Thor - Love and Thunder,2022,BluRay,"superhero Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",https://fzmovies.net/movie-Thor%20-%20Love%20and%20Thunder--hmp4.htm,https://fzmovies.net/imdb_images/Thor.Love.and.Thunder.2022.jpg
Action,Hollywood,Thor 3 - Ragnarok,2017,BluRay,"Imprisoned, the almighty Thor finds himself in a lethal gladiatorial contest against the Hulk, his former ally. Thor must fight for survival and race against time to prevent the all-powerful Hela from destroying his home and the Asgardian civilization.
Action,Hollywood,Angel Has Fallen,2019,BluRay,"After the events in the previous film, Secret Service agent Mike Banning finds himself framed for an assassination attempt on the President. Pursued by his own agency and the FBI, Banning races to clear his name and uncover the real terrorist threat which has set its sights on Air Force One.Tags : sequel...<more>",https://fzmovies.net/movie-Angel%20Has%20Fallen--hmp4.htm,https://fzmovies.net/imdb_images/Angel.Has.Fallen.2019.jpg
Action,Hollywood,Doctor Strange in the Multiverse of Madness,2022,BluRay,"Dr. Stephen Strange casts a forbidden spell that opens the doorway to the multiverse, including alternate versions of himself, whose threat to humanity is too great for the combined forces of Strange, Wong, and Wanda Maximoff.Tags : marvel comics | second part | superhero | based on comic | shared universe...<more>",https://fzmovies.net/movie-Doctor%20Strange%20in%20the%20Multiverse%20of%20Madness--hmp4.htm,https://fzmovies.net/imdb_images/Doctor.Strange.in.the.Multiverse.of.Madness.2022.jpg
Family,Hollywood,The Lion King 2019,2019,BluRay,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",https://fzmovies.net/movie-The%20Lion%20King%202019--hmp4.htm,https://fzmovies.net/imdb_images/The.Lion.King.2019.jpg
Family,Hollywood,Aladdin,2019,BluRay,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,https://fzmovies.net/movie-Aladdin--hmp4.htm,https://fzmovies.net/imdb_images/Aladdin.2019.jpg
Family,Hollywood,Frozen 2,2019,BluRay,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom....<more>",https://fzmovies.net/movie-Frozen%202--hmp4.htm,https://fzmovies.net/imdb_images/Frozen.2.2019.jpg
Family,Hollywood,Spider Man Into the Spider Verse,2018,BluRay,"Miles Morales comes across the long-dead Peter Parker. This Peter Parker is not from his world though; he's from somewhere else in the multiverse. With Parker's guidance, Miles will become Spider-Man: and through that he will become part of the ever-expanding 'Spider-Verse'. Written by Johnny...<more>",https://fzmovies.net/movie-Spider%20Man%20Into%20the%20Spider%20Verse%20--hmp4.htm,https://fzmovies.net/imdb_images/Spider.Man.Into.The.Spider.Versee.2018.jpg
Family,Hollywood,Sonic the Hedgehog,2020,BluRay,"Based on the global blockbuster videogame franchise from Sega, SONIC THE HEDGEHOG tells the story of the world's speediest hedgehog as he embraces his new home on Earth. In this live-action adventure comedy, Sonic and his new best friend Tom (James Marsden) team up to defend the planet from the…...<more>",https://fzmovies.net/movie-Sonic%20the%20Hedgehog--hmp4.htm,https://fzmovies.net/imdb_images/Sonic.The.Hedgehog.2020.jpg
Family,Hollywood,Incredibles 2,2018,BluRay,"While the Parr family has accepted its collective calling as superheroes, the fact remains that their special heroism is still illegal. After they are arrested after unsuccessfully trying to stop the Underminer, their future seems bleak. However, the wealthy Deavor siblings of Devtech offer new…Tags : sabotage...<more>",https://fzmovies.net/movie-Incredibles%202%20--hmp4.htm,https://fzmovies.net/imdb_images/The.Incredibles.2.2018.jpg
Family,Hollywood,How to Train Your Dragon The Hidden World,2019,BluRay,"As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless' discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup's reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind. Written…Tags : dragon | viking...<more>",https://fzmovies.net/movie-How%20to%20Train%20Your%20Dragon%20The%20Hidden%20World--hmp4.htm,https://fzmovies.net/imdb_images/How.to.Train.Your.Dragon.3.2018.jpg
Family,Hollywood,Onward,2020,BluRay,"Set in a suburban fantasy world, two teenage elf brothers, Ian and Barley Lightfoot, go on an journey to discover if there is still a little magic left out there in order to spend one last day with their father, who died when they were too young to remember him.Tags : elf...<more>",https://fzmovies.net/movie-Onward--hmp4.htm,https://fzmovies.net/imdb_images/Onward.2020.jpg
Family,Hollywood,Maleficent - Mistress of Evil,2019,BluRay,"Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play.
History,Hollywood,Titanic,1997,BluRay,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fianc�, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning. ...<more>",https://fzmovies.net/movie-Titanic--hmp4.htm,https://fzmovies.net/imdb_images/Titanic.jpg
History,Hollywood,Ip Man 4,2019,BluRay,The Kung Fu master travels to the U.S. where his student has upset the local martial arts community by opening a Wing Chun school. Tags : sequel...<more>,https://fzmovies.net/movie-Ip%20Man%204--hmp4.htm,https://fzmovies.net/imdb_images/Ip.Man.4.The.Finale.2019.jpg
History,Hollywood,The Woman King,2022,BluRay,"A historical epic inspired by true events that took place in The Kingdom of Dahomey, one of the most powerful states of Africa in the 18th and 19th centuries.Tags : africa...<more>",https://fzmovies.net/movie-The%20Woman%20King--hmp4.htm,https://fzmovies.net/imdb_images/The.Woman.King.2022.jpg
History,Hollywood,300,2006,BluRay,"In the Battle of Thermopylae of 480 BC an alliance of Greek city-states fought the invading Persian army in the mountain pass of Thermopylae. Vastly outnumbered, the Greeks held back the enemy in one of the most famous last stands of history. Persian King Xerxes lead a Army of well over 100,000 (Persian king Xerxes before war has about 170,000 army) men to Greece and was confronted by 300 Spartans, and several hundred Arcadians. Xerxes waited for 10 days for King Leonidas to surrender or withdraw left with no options he moved. The battle lasted for about 3 days and after which all 300 Spartans were killed. The Spartan defeat was not the one expected, as a local shepherd, named Ephialtes, defected to the Persians and informed Xerxes of a separate path through Thermopylae, which the Persians could use to outflank the Greeks. ...<more>",https://fzmovies.net/movie-300--hmp4.htm,https://fzmovies.net/imdb_images/300.jpg
History,Hollywood,12 Strong,2018,BluRay,"12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11; under the leadership of a new captain, the team must work with an Afghan warlord to take down the Taliban.
History,Hollywood,Hacksaw Ridge,2016,BluRay,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to win the Medal of Honor without firing a shot....<more>",https://fzmovies.net/movie-Hacksaw%20Ridge--hmp4.htm,https://fzmovies.net/imdb_images/Hacksaw_Ridge_(2016).jpg
History,Hollywood,The Outpost,2020,BluRay,"A small team of U.S. soldiers battle against hundreds of Taliban fighters in Afghanistan.
History,Hollywood,The Northman,2022,BluRay,"From visionary director Robert Eggers comes The Northman, an action-filled epic that follows a young Viking prince on his quest to avenge his father's murder.Tags : viking | revenge...<more>",https://fzmovies.net/movie-The%20Northman--hmp4.htm,https://fzmovies.net/imdb_images/The.Northman.2022.jpg
History,Hollywood,Arthur and Merlin Knights of Camelot,2020,BluRay,A much older King Arthur returns home after fighting the Roman Empire. His illegitimate son has corrupted the throne of Camelot. Now King Arthur must reunite with the wizard Merlin and the Knights of the Round Table and fight to get back his crown. Written by Ken M....<more>,https://fzmovies.net/movie-Arthur%20and%20Merlin%20Knights%20of%20Camelot--hmp4.htm,https://fzmovies.net/imdb_images/Arthur.And.Merlin.Knights.Of.Camelot.2020.jpg
